Department,Job_Title,Hourly_Rate
Seattle Dept of Transportation,"Fin Anlyst,Sr",44.9
Parks Department,Personnel Spec,35.16
Seattle Information Technology,"Info Technol Prof A,Exempt",58.16
Seattle Public Utilities,Civil Engr Supv,61.41
Seattle Public Utilities,"Wtr Treatment Op,Sr",34.02
Seattle Dept of Transportation,Executive2,77.35
Seattle Public Utilities,Civil Engr Supv,61.41
Police Department,Pol Ofcr-Detective,48.64
Seattle Center,Executive2,66.27
Police Department,Pol Ofcr-Patrl,46.68
Parks Department,Lifeguard *,16.47
Neighborhoods Department,Com Dev Spec,39.4
Seattle Dept of Transportation,"Tree Trimmer,Lead",33.15
Seattle Public Utilities,Cashier *,16.28
Seattle Public Utilities,"Util Maint Spec,Sr-SPU",36.86
Neighborhoods Department,Neighb District Coord,40.93
Seattle Dept of Transportation,"Civil Engrng Spec,Sr",48.84
City Light,Lnwkr,46.27
Police Department,StratAdvsr1 *,53.32
Seattle Public Utilities,Civil Engr Supv,61.41
Police Department,Pol Ofcr-Patrl,49.29
City Light,"Elecl PwrSystsEngr,Prin-Mrt",65.21
Dept of Finance & Admn Svc,Admin Spec II-BU,26.45
City Employees Retirement Syst,Retirement Spec *,29.09
Fire Department,Actg Tech II-BU,26.45
Dept of Finance & Admn Svc,"Mgmt Systs Anlyst,Sr",41.77
Seattle Information Technology,Telecom Syst Installer,31.52
Fire Department,Fireftr-90.46 Hrs,37.88
Seattle Public Utilities,Actg Tech II-BU *,24.5
Human Services,Counslr,30.78
Parks Department,Rec Leader,28.14
Parks Department,"Capital Prjts Coord,Asst",39.96
Parks Department,"Lifeguard,Sr",21.57
Seattle Dept of Transportation,Bridge Maint General Supv,40.54
Police Department,Parking Enf Ofcr,29.89
Dept of Finance & Admn Svc,"Manager1,General Govt",48.34
Police Department,Parking Enf Ofcr,29.89
Parks Department,Parks Maint Aide,15.71
Fire Department,Fireftr-Ap Drvr-90.46,44.33
Seattle Public Utilities,"Capital Prjts Coord,Sr",53.43
Seattle Information Technology,Info Technol Prof B-BU,47.52
Fire Department,Fire Battalion Chief-91.4 Hrs,60.43
Seattle Information Technology,Exec Asst,45.11
Dept of Finance & Admn Svc,Manager1 *,51.25
Office of Economic Development,"StratAdvsr1,Exempt",38.31
Parks Department,Maint Laborer,25.39
Human Services,"Plng&Dev Spec,Sr",41.77
Seattle Public Utilities,Constr&Maint Equip Op,33.1
Parks Department,Rec Cntr Coord,35.31
Seattle Public Utilities,"StratAdvsr3,Exempt",66.28
Dept of Finance & Admn Svc,"Manager3,Exempt",59.25
Seattle Dept of Const and Insp,Site Dev Insp,44.23
Parks Department,Admin Staff Anlyst,36.58
Human Services,Executive2 *,61.36
Neighborhoods Department,Actg Tech II-BU,24.5
Police Department,Pol Comms Anlyst,41.39
Parks Department,Publc Ed Prgm Spec,33.83
Seattle Information Technology,"StratAdvsr2,General Govt",58.73
Police Department,Mgmt Systs Anlyst,36.58
Seattle Public Utilities,Muni Government Intern *,19.76
Police Department,Pol Ofcr,37.18
Seattle Center,Usher *,15.68
City Light,Enrgy Mgmt Anlyst,48.31
Office for Civil Rights,Fin Anlyst *,35.01
Dept of Finance & Admn Svc,Paint&Body Supv,36.26
Seattle Dept of Transportation,Truck Drvr,29.94
Fire Department,Fireftr-90.46 Hrs,40.39
Immigrant & Refugee Affairs,"StratAdvsr1,Exempt",37.04
Parks Department,"Aquatic Cntr Coord,Asst",28.64
Police Department,Pol Ofcr,38.6
Human Services,Counslr,33.16
Police Department,Pol Ofcr-Detective,46.04
Planning and Community Develop,Exec Asst,40.16
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Dept of Finance & Admn Svc,Equip Svcr,25.63
Seattle Public Utilities,"Sfty&Hlth Spec,Sr-BU",45.87
Seattle Public Utilities,"Mgmt Systs Anlyst,Sr",46.8
Police Department,"StratAdvsr1,CL&PS",37.04
Seattle Dept of Const and Insp,"Civil Engr,Sr",48.92
Seattle Dept of Const and Insp,"Strucl Plans Engr,Sr",56.26
Parks Department,Rec Attendant *,15.68
Mayor's Office,"StratAdvsr3,Exempt",60.26
Parks Department,Rec Attendant *,15.68
Seattle Information Technology,"Info Technol Prof A,Exempt",60.32
Human Services,Social Svcs Aide *,20.35
Seattle Public Utilities,"Civil Engr,Assoc",42.51
City Light,Util Constr Wkr,28.99
Police Department,"Fin Anlyst,Sr",41.57
City Light,Marketing Dev Coord,43.38
Seattle Public Utilities,Student Engr Intern *,21.03
Arts and Culture,"Stage Tech,Lead",32.81
Parks Department,Seattle Conserv Corps Supv,28.77
Fire Department,Fireftr-Paramed Tech-90.46 Hrs,46.49
City Light,Hydro Maint Wkr I-Gen,27.12
Dept of Finance & Admn Svc,Auto Maint CC,40.86
Police Department,Pol Ofcr- Student,35.56
Seattle Information Technology,"Info Technol Prof A,Exempt",56.28
Parks Department,Rec Leader *,17.52
Parks Department,Util Laborer,24.5
Parks Department,"Lifeguard,Sr",19.22
City Light,"Civil Engrng Spec,Assoc",43.32
Human Services,Fin Anlyst-HSD,37.85
Dept of Finance & Admn Svc,Manager1 *,50.0
Human Services,"Human Svcs Prgm Supv,Sr",36.58
Parks Department,Counslr,33.16
Police Department,Pol Ofcr,38.6
Police Department,Identification Tech,34.46
Seattle Dept of Const and Insp,"Civil Engrng Spec,Sr",45.36
City Light,Elecl PwrSystsEngr-Mrt,61.88
City Light,Lnwkr,46.27
Seattle Center,Events Booking Rep *,30.17
Seattle Public Utilities,"Constr&Maint Equip Op,Sr",34.75
Seattle Center,Graphic Arts Designer,32.55
Seattle Public Utilities,"Civil Engrng Spec,Assoc",41.7
City Light,"Capital Prjts Coord,Sr",45.82
Parks Department,Parks Maint Aide,15.71
Fire Department,Fireftr-90.46 Hrs,40.39
Seattle Dept of Transportation,Bridge Op,29.68
Fire Department,Fireftr-Ap Drvr-90.46,43.62
Parks Department,Lifeguard *,16.47
City Light,Elec-Con Core CC,50.54
Legislative-City Council,Legislative Asst,32.93
Police Department,Pol Ofcr-Detective,47.77
City Light,"Mat Controller,Sr-BU",33.69
Seattle Public Utilities,"Manager3,Utils",63.55
Fire Department,Fireftr-90.46 Hrs,40.39
City Light,Cust Svc Rep,26.75
Police Department,Pol Ofcr-Detective,50.38
Police Department,Pol Ofcr-Patrl,49.29
Fire Department,Fireftr-90.46 Hrs,33.57
City Light,"Camp Svc Aide,Sr",21.49
Seattle Information Technology,Info Technol Prof B-BU,57.67
City Light,Store Clerk,22.95
City Light,Pwr Anlyst,45.36
City Light,"Elecl Engrng Spec,Asst I",32.63
Parks Department,Lifeguard *,16.47
Seattle Center,Events Booking Rep,35.16
Seattle Public Utilities,Wtr Pipe Wkr Sr-WDM II,36.53
Police Department,Pol Ofcr-Patrl,49.29
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Seattle Center,"Events Svc Rep,Sr",39.4
Seattle Dept of Transportation,Bridge Op,29.68
Seattle Center,Stage Tech *,30.42
City Light,"Warehouser,Sr-BU",28.77
City Light,"Real Property Agent,Sr",43.94
Parks Department,Drainage&Wstwtr Coll Lead Wkr,33.56
Fire Department,Fire Lieut-90.46 Hrs,47.21
Seattle Public Utilities,"Civil Engr,Sr",56.96
Seattle Dept of Const and Insp,Bldg Plans Examiner,37.85
Dept of Finance & Admn Svc,Animal Contrl Ofcr Supv,30.78
Fire Department,Fireftr-80 Hrs,43.64
Police Department,Pol Ofcr,43.43
City Light,Pwr Marketer-BU,40.54
Parks Department,Rec Cntr Coord,35.31
Parks Department,Work Trng Enrollee *,15.0
City Light,Maint Laborer,25.39
Seattle Public Utilities,"Gardener,Sr",29.58
Police Department,Pol Comms Dispatcher I,30.65
Parks Department,Maint Laborer,25.39
Seattle Center,Stage Tech *,30.42
Police Department,Pol Ofcr-Patrl,48.86
City Light,Cust Svc Rep,24.86
Seattle Dept of Transportation,Constr&Maint Equip Op,33.1
Seattle Public Utilities,Transmission CC-WDM II,42.1
Fire Department,Fireftr-Ap Drvr-90.46,39.67
Fire Department,"Fire Chief,Dep-80 Hrs",78.48
Police Department,Parking Enf Ofcr,29.89
Police Department,Pol Sgt-Detective,54.95
Seattle Public Utilities,Actg Tech III-BU,29.09
City Light,Lnwkr,46.27
Seattle Public Utilities,Opns Response Cntr Op,32.55
Human Services,"Prjt Fund&Agreemts Coord,Sr",43.38
Seattle Public Utilities,"Sfty&Hlth Spec,Sr-BU",45.87
Seattle Dept of Transportation,Sfty&Hlth Supv,47.66
Seattle Dept of Transportation,"Civil Engrng Spec,Assoc",43.32
Police Department,Pol Capt - Violent Crime,85.44
City Budget Office,"StratAdvsr2,Exempt",47.82
Parks Department,Work Trng Enrollee *,15.0
Parks Department,Pntr,32.88
Seattle Dept of Transportation,"StratAdvsr2,CSPI&P",54.04
Seattle Public Utilities,"Fin Anlyst,Sr",44.9
Seattle Public Utilities,"StratAdvsr1,General Govt",51.19
Fire Department,Fireftr-Ap Drvr-90.46,43.62
Seattle Public Utilities,"Civil Engrng Spec,Sr",48.84
Police Department,Pol Ofcr-Patrl,44.95
City Light,Strucl Pntr,34.02
Parks Department,Rec Attendant *,15.68
Seattle Information Technology,Info Technol Prof B-BU,56.87
Human Services,"Grants&Contracts Spec,Sr",35.93
Dept of Finance & Admn Svc,Metal Fabricator,35.33
Seattle Public Utilities,Util Act Rep I,29.65
Police Department,Pol Ofcr-Patrl,44.95
City Light,"Elecl Engrng Spec,Sr",48.84
Dept of Finance & Admn Svc,Maint Laborer *,25.39
Police Department,Pol Ofcr-Hostage Neg-Patrl,49.51
Seattle Center,Stage Tech *,30.42
City Light,Pwr Marketer-BU,45.0
Fire Department,Fireftr-Prev Insp I-80 Hrs,50.34
Police Department,Pol Data Tech,27.2
Dept of Finance & Admn Svc,"StratAdvsr2,General Govt",50.54
Seattle Information Technology,"StratAdvsr1,CSPI&P",43.16
Dept of Finance & Admn Svc,"Cust Svc Rep,Sr",27.79
City Light,Comms Elctn II,45.77
Police Department,Pol Ofcr-Patrl,51.03
Fire Department,Fireftr-Ap Drvr-90.46,43.62
Seattle Center,Parking Attendant,21.57
Seattle Dept of Transportation,Student Engr Intern *,20.35
Fire Department,Fire Lieut-90.46 Hrs,43.98
Parks Department,Work Trng Enrollee *,15.0
Fire Department,Fireftr-90.46 Hrs,33.57
Seattle Public Utilities,"Manager2,Utils",51.76
Dept of Finance & Admn Svc,Auto Mechanic,34.93
Seattle Information Technology,Info Technol Prof C-BU,43.47
Fire Department,Fireftr-Decon-90.46 Hrs,42.9
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr CI,30.49
Dept of Finance & Admn Svc,"StratAdvsr2,Exempt",54.33
Parks Department,"Capital Prjts Coord,Sr *",45.82
City Budget Office,"StratAdvsr2,Exempt",53.64
Seattle Center,Usher *,15.68
City Light,Muni Government Intern *,19.76
Construction and Land Use,Cooperative Intern *,16.12
Seattle Dept of Transportation,"Civil Engr,Sr",56.96
Seattle Public Utilities,Constr&Maint Equip Op,33.1
Seattle Public Utilities,Gardener *,25.39
Dept of Finance & Admn Svc,Janitor-FAS/CL,21.03
Police Department,Parking Enf Ofcr Supv,35.01
Parks Department,Gardener *,24.5
Parks Department,Maint Laborer,25.39
Seattle Dept of Const and Insp,Housing/Zoning Inspector,38.56
City Light,Jrnywkr In Chg,48.74
Police Department,Pol Ofcr-Patrl,50.16
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Seattle Dept of Const and Insp,"StratAdvsr2,CSPI&P",56.28
Police Department,Parking Enf Ofcr,29.89
Seattle Public Utilities,Admin Spec I-BU,24.5
Fire Department,Fire Lieut-90.46 Hrs,46.49
Fire Department,Fireftr-HM-90.46 Hrs,42.18
Seattle Center,Parking Attendant *,18.54
Parks Department,Admin Staff Anlyst,37.94
Police Department,Latent Print Examiner,35.16
Seattle Information Technology,Info Technol Prof B-BU,50.52
Dept of Finance & Admn Svc,Carpenter,32.88
Seattle Public Utilities,Util Act Rep Supv II,39.4
Seattle Information Technology,Info Technol Prof B-BU,49.73
Seattle Center,"Stage Tech,Lead",32.81
Seattle Information Technology,Info Technol Prof B-BU,50.48
Parks Department,Rec Attendant,15.96
City Budget Office,Executive2,71.5
Police Department,Pol Ofcr-Patrl,49.29
City Light,"Capital Prjts Coord,Sr",45.82
Seattle Dept of Transportation,"Manager1,Engrng&Plans Rev",53.44
Seattle Public Utilities,"Civil Engr,Sr",56.96
Parks Department,Maint Laborer,25.39
City Light,Line CC-Asg C Coord,52.06
Seattle Dept of Transportation,"Civil Engrng Spec,Sr",48.84
Seattle Dept of Transportation,"Transp Plnr,Assoc",44.9
Police Department,Pol Ofcr-SWAT,49.51
Fire Department,Fire Capt-90.46 Hrs,52.68
Seattle Dept of Transportation,Civil Engr Supv,61.41
Seattle Public Utilities,"Wtr Treatment Op,Sr",34.02
City Light,"StratAdvsr2,Utils-BU",50.0
Seattle Information Technology,Info Technol Prof B-BU,47.9
Parks Department,"Manager2,General Govt",49.59
City Light,Civil Engrng Spec Supv,51.14
Police Department,Pol Ofcr-Patrl,46.68
Fire Department,Fire Lieut-80 Hrs,52.57
Seattle Dept of Const and Insp,Permit Spec I,35.16
City Light,Cust Svc Rep,26.75
Fire Department,Fireftr-90.46 Hrs,37.88
City Light,Elctn-Con Aprn,34.59
City Light,"StratAdvsr1,Fin,Bud,&Actg-BU",48.43
Dept of Finance & Admn Svc,"Fin Anlyst,Sr",44.9
Seattle Public Utilities,"StratAdvsr1,CSPI&P",52.56
Fire Department,Fire Capt-90.46 Hrs,54.11
